"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"0","Not from the US","Sophomore","Black","West","Soccer","no","none of these","Facebook","no","2","3","0","Some combination of two","none","4",NA,"3","What even is the Perimeter ","Other","8","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","SLG","Time","11","0","1","1","Neither they're nasty","Phoebe","5",NA,"Gilmore Girls","Soft tacos","Jigglypuff","7","None of the above","Dog","Pitchforks","fruity","Harris Teeter's","No","Yes","Bakery","46","watery pasta","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"7","Midwest","Junior","Blonde","West","Basketball","hell yes","none of these","Facebook","it's complicated","0","2","4","Nutella","none","10","6","6","What even is the Perimeter ","Blue Express","4","Yes","Sriracha","no","yes","SLG","Outer space","4","1","0","7","Coke","Phoebe","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","8","Pepperjack","Dog","Cookout","chocolate","Chipotle","No","No","Bakery","52.5","salad bar","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Mid-Atlantic","Junior","Black","West","Basketball","hell yes","Beyonce","Facebook","no","1","2","2","Nutella","blue","9","12","4","What even is the Perimeter ","Divinity Refectory","200","No","Soy Sauce","no","no, I was eligible but chose not to vote","SLG","Outer space","1","2","5","10","Pepsi","Phoebe","4","House Targaryen","Friends","Burrito","Venusaur","2","Cheddar","Dog","Cosmic","chocolate","Chipotle","Yes","Yes","Pizza",NA,"powdered eggs","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","4"
"2","New England","Sophomore","Blonde","Central","Football","meh","none of these","Snapchat","no","2","2","5","Some combination of two","none","30","13","6","Outside","Edens Cafe (lol)","8","Yes","Sriracha","yes","yes","Greek life","Outer space","2","1","2","1","Neither they're nasty","Rachel","4","House Targaryen","House of Cards","Margarita (no food)","Jigglypuff","9","None of the above","Dog","Pizza","chocolate","Parker and Otis","Sometimes","No","Old Spice/Axe/Perfume","63","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","10"
"0","Southeast","Junior","Black","West","Football","yes","none of these","Twitter","no","2","1","2","Some combination of two","none","20","15","20","Outside","The Loop","10","Yes","Maple Syrup","no","yes","Independent","Time","1","3","5","3","Coke","Rachel","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Goat","Dog","Jimmy John's","fruity","Chipotle","No","Yes","Pizza","44","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","4","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","30","3","3","Pepsi","Rachel","1",NA,"Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry",NA,"powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
NA,"Southeast","First-year","Brown","East","Football","hell yes","Taylor swift","Instagram","it's complicated","1","2","1","Some combination of two","unsure","5","14","4","Inside","Divinity Refectory","2","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","2","2","3","Coke","Joey","3",NA,"Breaking Bad","Burrito Bowl","Charizard","6","Pepperjack","Dog","Pizza","chocolate","Cosmic","Shhhhh!","No","Pine","60","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"3","Southeast","Junior","Blonde","West","Football","no","none of these","Vine","it's complicated","0","1","1","Nutella","none","8","16","4",NA,"None of the above","3","Yes","Honey Mustard","no","yes","Athletic Team","Time","1","12","1","7","Neither they're nasty","Joey","4","House Greyjoy","House of Cards","Burrito Bowl","Blastoise","9","Brie","Cat","Cosmic","sweet-and-salty","Chipotle","Yes","No","Clean Laundry","54","watery pasta","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","4"
"1","Pacific Northwest","Senior","Brown","Off campus","Football","yes","Taylor swift","Facebook","yes","2","2","0","All three","none","6","18","1",NA,"Blue Express","5","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","11","0","0","2","Coke",NA,"3",NA,"Gilmore Girls","Burrito Bowl",NA,NA,"Cheddar","Dog","Cookout","chocolate","Chipotle","No","No","Pine","54",NA,"Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Not from the US","Sophomore","Brown","West","Soccer","yes","Taylor swift","Facebook","no","0","0","0","Nutella","none","8","9","2","What even is the Perimeter ","Divinity Refectory","15","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","3","0","0","1","Coke","Phoebe","4","House Stark","How I Met Your Mother","Burrito","Blastoise","6","Cheddar","Dog","Pizza","chocolate","Chipotle","Shhhhh!","Yes","Pine","60","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"1","Mid-Atlantic","Sophomore","Brown","Off campus","Other","yes","none of these","Snapchat","it's complicated","2","1","3","Some combination of two","none","4","12",NA,"What even is the Perimeter ","Edens Cafe (lol)","2","Yes","Ketchup","no","yes","Athletic Team","Time","1","0","3","1","Coke","Joey","3",NA,"House of Cards","Salad","Charizard","6","Brie","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","11"
"0","Southeast","First-year","Brown","East","Soccer","hell yes","Kanye West","Vine","no","1","3","2","Some combination of two","unsure","12","16","10","Inside","Other","2","Yes","Sriracha","yes","no, I was not eligible due to age or citizenship status","Independent","Time","9","2","0","2","Neither they're nasty","Chandler","4",NA,"Breaking Bad","Burrito Bowl","Jigglypuff","5","Pepperjack","Dog","Pizza","sweet-and-salty","Chipotle","Yes","Yes","Pine","51","chocolate covered crickets","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","2"
"1","California","First-year","Brown","East","Soccer","hell yes","none of these","Twitter","no","3","1","0","Peanut butter","black","1","17","5","All of the Above","The Loop","10","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","7","3","0","5","Pepsi","Rachel","2","House Targaryen","House of Cards","Burrito Bowl","Blastoise","6","Cheddar","Dog","Cookout","chocolate","Chipotle","No","Yes","Pine","49","watery pasta","Game of Thrones","Harry Potter","Gryffindor (because I'm a badass)","1"
"3","Southeast","Sophomore","Brown","West","I don't watch sports","meh","none of these","Facebook","no","4","2","0","Nutella","blue","11","19","5","What even is the Perimeter ","Divinity Refectory","6","Yes","Sriracha","no","yes","Independent","Time","7","10","0","0","Neither they're nasty","Phoebe","7","House Targaryen","Friends","Burrito Bowl","Rayquaza","5","None of the above","Dog","Pizza","chocolate","Harris Teeter's","Yes","No","Bakery","54","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Gryffindor (because I'm a badass)","0"
"0","Midwest","Junior","Brown","West","Basketball","hell yes","Kanye West","Instagram","no","2","1","1","Nutella","none","4","13","5","What even is the Perimeter ","The Loop","10","Yes","Maple Syrup","no","yes","Athletic Team","Outer space","1","5","5","6","Coke","Ross","2",NA,"House of Cards","Soft tacos","Charizard","7","Cheddar","Dog","Cosmic","chocolate","Chipotle","Yes","No","Bakery","57","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"1","Not from the US","First-year","Brown","East","Soccer","hell yes","Beyonce","Snapchat","no","1","2-3","2","Nutella","black","7","15","2","Outside","Divinity Refectory","15","No","Sriracha","no","no, I was not eligible due to age or citizenship status","Greek life","Time","2","3","17","3","Coke","Rachel","1","House Stark","Friends","Burrito","Jigglypuff","5","Brie","Cat","Cosmic","sour","Chipotle","Yes","Yes","Pine","50","watery pasta","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","8"
NA,"Midwest","First-year","Brown","East","Basketball","hell yes","Beyonce","Instagram","no","2","1","1","Some combination of two","blue","10","16","4","What even is the Perimeter ","Divinity Refectory","2","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Greek life","Time","8","2","5","5","Coke","Chandler","3",NA,"House of Cards","Burrito Bowl","Venusaur","7","Feta","Dog","Pizza","vanilla","Parker and Otis","No","No","Clean Laundry","50","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Southeast","Sophomore","Brown","Central","Football","yes","Kendrick Lamar","Snapchat","no","2","2","5","Some combination of two","none","6","16","15","Inside","Divinity Refectory","10","Yes","Ketchup","no","yes","Greek life","Time","7","5","0","3","Coke","Chandler","3","House Targaryen","Friends","Burrito Bowl","Charizard","7","Brie","Dog","Cookout","other","Chipotle","Yes","No","Sharpie","54","watery pasta","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","1"
"4","Southeast","First-year","Brown","East","Soccer","hell yes","Kanye West","Yikyak","yes","2","2","2","All three","unsure","6","13","1","What even is the Perimeter ","Divinity Refectory","4","Yes","Sriracha","yes","yes","Independent","Time","5","1","4","2","Coke","Gunther","3","House Tyrell","How I Met Your Mother","Burrito Bowl","Charizard","6","Pepperjack","Cat","Cosmic","fruity","Chipotle","Shhhhh!","No","Pine","56","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","3"
NA,"Not from the US","Sophomore","Brown","West","Soccer","hell yes","Beyonce","Twitter","no","0","3","0","Nutella","none","4","18","4","What even is the Perimeter ","Divinity Refectory","5","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","4","8","0","0","Coke","Joey","2","House Stark","How I Met Your Mother","Burrito","Charizard","6","None of the above","Dog","Pizza","vanilla","Chipotle","Shhhhh!","Yes","Bakery","55","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"0","Southeast","First-year","Black","East","Basketball","meh","none of these","Facebook","yes","1","2","0","Peanut butter","none","5","10","2","What even is the Perimeter ","Divinity Refectory","2","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Independent","Time","23","0","5","0","Neither they're nasty","Joey","3",NA,"House of Cards","Burrito","Jigglypuff","6","Cheddar","Dog","Pizza","vanilla","Chipotle","No","Yes","Clean Laundry","52","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","New England","Junior","Black","West","Soccer","yes","none of these","Instagram","no","1","3","6","Nutella","white","10","17","4","What even is the Perimeter ","The Loop","10","Yes","Honey Mustard","no","yes","SLG","Time","16","3","5","3","Coke","Rachel","3",NA,"Gilmore Girls","Burrito Bowl","Charizard","4","Brie","Cat","Pitchforks","chocolate","Chamas","Yes","Yes","Clean Laundry","54","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","5"
"1","Pacific Northwest","Junior","Brown","Off campus","Football","hell yes","Kanye West","Snapchat","no","2","1","6","Some combination of two","none","2","13","8","Outside","The Loop","10","Yes","Ketchup","no","no, I was eligible but chose not to vote","Greek life","Time","1","1","0","0","Coke","Joey","1","House Targaryen","House of Cards","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","Sometimes","No","Clean Laundry","52.5","powdered eggs","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","12"
"0","New England","Sophomore","Brown","West","Football","hell yes","Beyonce","Instagram","no","1","2","1","Nutella","none","5","10","2","What even is the Perimeter ","Divinity Refectory","5","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","12","1","4","3","Coke","Monica","3","House Stark","Breaking Bad","Burrito Bowl","Jigglypuff","6","Feta","Dog","Pizza","fruity","Chipotle","Yes","Yes","Clean Laundry","45","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","4"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Instagram","no","2","1","2","Nutella","black","15","12","8","Outside","Divinity Refectory","6","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","10","1","0","10","Neither they're nasty","Ross","5","House Targaryen","How I Met Your Mother","Burrito Bowl","Jigglypuff","6","Pepperjack","Dog","Pizza","vanilla","Parker and Otis","No","No","Pizza","58.5","powdered eggs","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southeast","Junior","Red","Central","Football","I don't care. #teamnicki","Taylor swift","Snapchat","yes","2","1","5","Peanut butter","none","10","14","8","Inside","Blue Express","30","Yes","Honey Mustard","no","yes","Greek life","Time","12","5","2","5","Neither they're nasty","Chandler","5","House Lannister","Friends","Margarita (no food)","Blastoise","6","Feta","Dog","Cookout","chocolate","Chipotle","No","No","Bakery","51","watery pasta","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","1"
"2","Southeast","First-year","Black","East","Basketball","no","none of these","Snapchat","no","0","1","1","Nutella","none","4","10","1","What even is the Perimeter ","Other","1","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","1","3","5","3","Neither they're nasty","Ross","3","House Targaryen","How I Met Your Mother","Burrito","Charizard","12","None of the above","Cat","Pizza","chocolate","Chipotle","No","Yes","Old Spice/Axe/Perfume","2","powdered eggs","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","52"
"1","Southeast","Junior","Blonde","West","Other","yes","none of these","Instagram","no","1","1","1","All three","none","6","16","14","What even is the Perimeter ","The Loop","15","Yes","Honey Mustard","no","yes","Independent","Time","1","1","0","3","Coke","Phoebe","3","House Targaryen","House of Cards","Burrito","Rayquaza","5","None of the above","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","59","chocolate covered crickets","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","1"
"1","Mid-Atlantic","Senior","Brown","Off campus","Soccer","yes","none of these","I don't use social media","no","1","2","0","Some combination of two","none","9","17","3","What even is the Perimeter ","Blue Express","0","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","SLG","Outer space","1","1","0","1","Neither they're nasty","Rachel","3",NA,"How I Met Your Mother","Burrito","Blastoise","6","None of the above","Cat","Cookout","sweet-and-salty","Parker and Otis","No","Yes","Bakery","54","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","New England","First-year","Blonde","East","Soccer","yes","Beyonce","Instagram","yes","2","2","2","Nutella","unsure","25","17","0","What even is the Perimeter ","The Loop","5","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","Greek life","Time","8","1","3","1","Pepsi","Rachel","6",NA,"Friends","Burrito Bowl","Jigglypuff","6","Blue","Dog","Cookout","fruity","Chipotle","No","Yes","Bakery","51","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","1"
"4","Southeast","Senior","Brown","West","I don't watch sports","yes","none of these","Facebook","no","2","2","0","Some combination of two","none","2",NA,"2","What even is the Perimeter ","Divinity Refectory","2","Yes","Honey Mustard","no","yes","Independent","Outer space","15","1","2","0","No preference","Joey","4",NA,"How I Met Your Mother","Salad","Charizard","5","Goat","Dog","Pitchforks","sweet-and-salty","Parker and Otis","Shhhhh!","No","Bakery","53","watery pasta","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)","0"
"0","Southeast","First-year","Brown","East","Other","meh","Kendrick Lamar","Instagram","no","1","1","2","Nutella","none","6","16",NA,"What even is the Perimeter ","Divinity Refectory","5","No","Honey Mustard","no","yes","Greek life","Time","2","0","0","2","Neither they're nasty","Rachel","4",NA,"How I Met Your Mother","Burrito","Charizard",NA,"Goat","I'm not an animal person","Jimmy John's","chocolate","Parker and Otis","Sometimes","No","Pine","51","chocolate covered crickets","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","4"
"1","Southeast","Sophomore","Brown","West","Other","hell yes","Kanye West","Twitter","no","3","1","2","None","none","1","10","10","What even is the Perimeter ","None of the above","2","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","4","2","0","3","Coke","Rachel","2",NA,"House of Cards","Burrito","Jigglypuff","3","Feta","Dog","Jimmy John's","chocolate","Chipotle","No","No","Pine","44.5","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"2","New England","Sophomore","Brown","West","Soccer","meh","none of these","Facebook","no","2","3","0","Nutella","none","15","19","1","What even is the Perimeter ","Other","4","No","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","0","0","5","Neither they're nasty","Phoebe","4",NA,"Gilmore Girls","Salad","Jigglypuff","4","None of the above","Dog","Pitchforks","other","Chamas","No","Yes","Clean Laundry","50","the giant roasted hog","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"0","Southeast","Junior","Brown","West","Basketball","I don't care. #teamnicki","Kendrick Lamar","I don't use social media","no","1","1","0","Peanut butter","none","0","15","10","What even is the Perimeter ","Edens Cafe (lol)","0","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","Independent","Time","3","4","0","5","Neither they're nasty","Chandler","1","House Lannister","House of Cards","Quesadilla","Charizard","6","Cheddar","Dog","Pizza","chocolate","Satisfactions","Yes","Yes","Clean Laundry","48","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Mid-Atlantic","Junior","Black","West","Basketball","no","none of these","Youtube","yes","0","2","3","Peanut butter","none","10","4","12","Outside","The Loop","0","Yes","Ketchup","no","yes","Independent","Time","9","2","3","5","Neither they're nasty","Joey","3",NA,"House of Cards","Burrito Bowl","Charizard","5","Brie","Dog","Cosmic","vanilla","Chipotle","Sometimes","Yes","Sharpie","52.5","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
NA,"California","First-year","Black","East","Basketball","meh","Taylor swift","Facebook","no","0","2","1","Peanut butter","blue","9",NA,"4","All of the Above","Blue Express","20","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Independent","Time","13","3","14","1","Coke","Rachel","3",NA,"House of Cards","Burrito","Charizard","7","Feta","I'm not an animal person","Cookout","vanilla","Harris Teeter's","Shhhhh!","Yes","Bakery","58","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"0","Mid-Atlantic","Senior","Brown","West","I don't watch sports","no","none of these","Facebook","no","0","1","0","None","blue","4",NA,"10","What even is the Perimeter ","None of the above","5","No","Ketchup","no","no, I was eligible but chose not to vote","Independent","Time","5","0","6","0","Pepsi","Joey","2",NA,"Friends","Salad","Jigglypuff","5","None of the above","Cat","Cookout","I don't eat dessert because I don’t like fun",NA,"No","No","Clean Laundry","61","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Ravenclaw (because I'm better than you)","0"
"0","Southeast","Senior","Black","Off campus","Soccer","hell yes","Taylor swift","Instagram","no","1",NA,"2","Nutella","none","3","7","8","All of the Above","Divinity Refectory","2","Yes","Sriracha","no","yes","Independent","Time","2","2","0","0","Coke","Phoebe","3",NA,"Gilmore Girls","Burrito Bowl","Charizard","6","Brie","Dog","Cookout","chocolate","Chipotle","Shhhhh!","Yes","Pizza","60","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"0","Southeast","Junior","Black","West","Other","meh","none of these","Youtube","no","2","2","0","Some combination of two","none","4",NA,"4","What even is the Perimeter ","Divinity Refectory","0","Yes","Maple Syrup","no","yes","Independent","Outer space","6","1","0","1","Neither they're nasty","Rachel","3",NA,"Gilmore Girls","Burrito Bowl","Blastoise","5","Brie","Dog","Jimmy John's","vanilla","Chipotle","No","Yes","Bakery","55","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"2","New England","Junior","Brown","West","Other","yes","none of these","Facebook","no","0","2","0","Nutella","unsure","17",NA,"8","What even is the Perimeter ","None of the above","6","Yes","Soy Sauce","no","yes","Independent","Time","15","2","5","10","Coke","Joey","5","House Targaryen","House of Cards","Burrito Bowl","Charizard","6","Cheddar","Dog","Cookout","vanilla","Chipotle","Sometimes","Yes","Bakery","58","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"1","Midwest","Sophomore","Brown","West","Football","hell yes","Beyonce","Instagram","no","0","1","1","Peanut butter","none","2","17","1","Inside","Edens Cafe (lol)","5","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","1","2","0","10","Coke","Rachel","1","House Stark","How I Met Your Mother","Burrito Bowl","Jigglypuff","2","Cheddar","Dog","Cookout","vanilla","Chipotle","No","Yes","Bakery","50","chocolate covered crickets","Hunger Games","Game of Thrones","Hufflepuff (because I'm good at something)","6"
"2","Midwest","First-year","Blonde","East","Basketball","yes","none of these","Twitter","no","1","1","2","Some combination of two","unsure","4","14","3",NA,"The Loop","4","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Independent","Time","5","4","3","2","Coke","Rachel","3","House Tyrell","House of Cards","Burrito Bowl","Rayquaza","6","None of the above","Dog","Cookout","vanilla","Cosmic","Sometimes","No","Old Spice/Axe/Perfume","52","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","1"
"0","Not from the US","Sophomore","Black","West","Basketball","meh","Kendrick Lamar","Snapchat","it's complicated","2","2","2","Nutella","unsure","5","15","3","Outside","None of the above","4","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","1","3","3","Coke","Phoebe","3","House Martell","House of Cards","Quesadilla","Jigglypuff","4","Feta","Dog","Pitchforks","chocolate","Parker and Otis","No","Yes","Bakery","60.5","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","3"
"1","Southwest","Junior","Blonde","Central","Basketball","hell yes","Beyonce","Yikyak","it's complicated","2","2","3","Peanut butter",NA,"4","12","8","What even is the Perimeter ","Edens Cafe (lol)","10","Yes","Sriracha","yes","yes","Greek life","Time","14","0","5",NA,"Coke","Rachel","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","None of the above","Dog","Pitchforks","vanilla","Parker and Otis","No","No","Bakery","56","the giant roasted hog","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","5"
"0","Mid-Atlantic","Sophomore","Brown","West","Basketball","yes","Kanye West","Facebook","no","1","1","2","Nutella","none","4","17","3",NA,"Edens Cafe (lol)","15","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","SLG","Time","2","1","0","17","Coke","Chandler","2","House Stark","Breaking Bad","Burrito","Charizard","8","Cheddar","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","54","salad bar","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","3"
"1","Midwest","Senior","Brown","West","Other","hell yes","none of these","Facebook","yes","2","2","1","Peanut butter","blue","14","15","2","What even is the Perimeter ","Other","2","No","Maple Syrup","no","yes","Independent","Time","3","2","0","3","Coke","Chandler","3","House Lannister","Breaking Bad","Burrito","Jigglypuff","5","None of the above","Cat","Cookout","chocolate","Chipotle","No","No","Bakery","55","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"5","Southeast","Sophomore","Brown","West","Basketball","meh","Taylor swift","Instagram","yes","2","2","0","Some combination of two","none","6","14","1",NA,"The Loop","1","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","1","2","0","10","Neither they're nasty",NA,"2",NA,NA,"Soft tacos",NA,NA,"None of the above","Dog","Cookout","vanilla","Harris Teeter's","No","Yes","Pizza","44","watery pasta","Hunger Games",NA,NA,"0"
NA,"Southeast","First-year","Blonde","East","Soccer","yes","Beyonce","Vine","it's complicated","2","3","1","Nutella","blue","3","14","20","Inside","Divinity Refectory","2","No","Ketchup","yes","no, I was not eligible due to age or citizenship status","Greek life","Time","4","0","6","2","Coke","Chandler","1",NA,"Friends","Salad","Jigglypuff","5","Pepperjack","Dog","Cosmic","fruity","Chipotle","Yes","No","Bakery","48","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","1"
"0","Southeast","First-year","Black","East","Basketball","hell yes","Beyonce","Twitter","no","3","1","0","Peanut butter","black","0",NA,"1","What even is the Perimeter ","Divinity Refectory","3","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Independent","Time","16","1","1","1","Coke","Ross","1",NA,"How I Met Your Mother","Burrito Bowl","Charizard","5","Pepperjack","Dog","Pizza","chocolate","Chipotle","No","Yes","Pizza","50","the giant roasted hog","Lord of the Rings/Hobbit","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","Southeast","Sophomore","Black","East","Football","hell yes","Kendrick Lamar","Facebook","it's complicated","9","1","0","Some combination of two","none","1","10","9","What even is the Perimeter ","Edens Cafe (lol)","3","No","Honey Mustard","no","yes","Independent","Time","20","0","2","5","Coke","Joey","1",NA,"Breaking Bad","Burrito","Jigglypuff","9","Cheddar","Dog","Cookout","fruity","Cosmic","No","Yes","Bakery","40","salad bar","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Southwest","Senior","Black","West","Basketball","yes","none of these","Snapchat","yes","1","3","0","Nutella","blue","8","21","2",NA,"Blue Express","3","Yes","Honey Mustard","no","yes",NA,"Time","2","2","5","3","Coke","Monica","4",NA,"How I Met Your Mother","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pitchforks","sweet-and-salty","Chipotle","Sometimes","Yes","Bakery","57","chocolate covered crickets","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)","0"
