"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"0","California","First-year","Black","East","Basketball","yes","none of these","Facebook","no","1","1","0","Nutella","none","10",NA,"5","All of the Above","Divinity Refectory","4","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","1","4","1","No preference","Phoebe","4",NA,"Friends","Burrito","Charizard","4","Goat","Cat","Pizza","sweet-and-salty","Chipotle","No","Yes","Clean Laundry","53","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","Midwest","Junior","Black","West","I don't watch sports","meh","Kanye West","Yikyak","no","1","4","1","Peanut butter","none","5","18","13","What even is the Perimeter ","None of the above","3","Yes","Ketchup","no","no, I was eligible but chose not to vote","Independent","Outer space","3","8","0","0","Neither they're nasty","Chandler","3","House Martell","House of Cards","Burrito Bowl","Charizard","8","None of the above","Dog","Pitchforks","fruity","Chipotle","Sometimes","Yes","Bakery","55","chocolate covered crickets","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","0"
"1","Southeast","Sophomore","Brown","West","Basketball","hell yes","none of these","Instagram","yes","1","2","2","Some combination of two","none","5","13","5","What even is the Perimeter ","Divinity Refectory","3","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","5","3","1","7","Coke","Chandler","3",NA,"Gilmore Girls","Burrito Bowl","Charizard","7","Brie","Dog","Pitchforks","sweet-and-salty","Parker and Otis","Shhhhh!","No","Bakery","52","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"0","Mid-Atlantic","First-year","Brown","East","Football","yes","Taylor swift","Facebook","no","1","2","2","Some combination of two","none","6","16","3","What even is the Perimeter ","The Loop","6","No","Soy Sauce","no","no, I was eligible but chose not to vote","Athletic Team","Time","5","2","0","5","Neither they're nasty","Rachel","4",NA,"Friends","Burrito Bowl","Jigglypuff","6","Blue","I'm not an animal person","Pizza","chocolate","Parker and Otis","No","Yes","Bakery","46","powdered eggs","Hunger Games","Legend of Zelda","Hufflepuff (because I'm good at something)","2"
"0","California","Junior","Black","Central","Basketball","I don't care. #teamnicki","none of these","Snapchat","no","1","3","3","None","none","9","13","5","Outside","The Loop","20","Yes","Sriracha","no","yes","Greek life","Time","17","1","1","21","Coke","Phoebe","2","House Stark","House of Cards","Burrito Bowl","Charizard","5","Goat","Dog","Jimmy John's","sweet-and-salty","Chipotle","No","Yes","Clean Laundry","49","powdered eggs","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","4"
"1","Midwest","Sophomore","Brown","West","Basketball","no","Kanye West","Yikyak","no","2","2","1","Some combination of two","none","2","17","1",NA,"Edens Cafe (lol)","69","No","Sriracha","no","no, I was eligible but chose not to vote","Independent","Time","14","0","0","3","Coke","Rachel","2",NA,"Friends","Burrito Bowl","Blastoise","75","Pepperjack","I'm not an animal person","Pizza","chocolate","Chipotle","Shhhhh!","No","Old Spice/Axe/Perfume","50","watery pasta","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)",NA
NA,"New England","Junior","Black","West","I don't watch sports","hell yes","Taylor swift","Youtube","no","1","2","2","None","none","5","12","5","What even is the Perimeter ","Other","6","Yes","Honey Mustard","no","yes","Athletic Team","Time","1","0","2","0","Neither they're nasty","Rachel","3","House Targaryen","How I Met Your Mother","Margarita (no food)","Charizard","7","Goat","Dog","Jimmy John's","fruity","Parker and Otis","Shhhhh!","Yes","Pine","53","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","2"
"1","Midwest","Senior","Blonde","West","Other","yes","none of these","Instagram","yes","1","2","1","Some combination of two","black","7","18","5","What even is the Perimeter ","Edens Cafe (lol)","10","Yes","Maple Syrup","no","yes","SLG","Time","9","1","0","0","Coke","Ross","2",NA,"Friends","Burrito Bowl","Charizard","7","Goat","Dog","Pizza","chocolate","Parker and Otis","Sometimes","Yes","Bakery","52","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"0","New England","First-year","Brown","East","Football","hell yes","none of these","Youtube","no","1","2","0","All three","none","4","15","2","What even is the Perimeter ","The Loop","6","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","3","2","0","0","Coke","Chandler","2","House Stark","Breaking Bad","Burrito Bowl","Blastoise","6","Cheddar","Dog","Pitchforks","chocolate","Chipotle","No","No","Pine","50","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"2","Mid-Atlantic","Sophomore","Blonde","West","Other","meh","Taylor swift","Twitter","no","2","2","2","Some combination of two","none","12","19","3","All of the Above","The Loop","10","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","1","2","10","Coke","Phoebe","4",NA,"House of Cards","Burrito Bowl","Jigglypuff",NA,"Cheddar","Dog","Pizza","chocolate","Harris Teeter's","No","No","Bakery","51","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","Pacific Northwest","Sophomore","Black","West","Other","yes","none of these","Facebook","no","1","3",".03","Nutella","blue","2",NA,"2","What even is the Perimeter ","Divinity Refectory","10","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","13","0","7","10","Coke","Chandler","2",NA,"Breaking Bad","Burrito","Charizard","8","Cheddar","Dog","Cookout","chocolate","Chipotle","Shhhhh!","Yes","Bakery","51","chocolate covered crickets","Harry Potter","Legend of Zelda","Ravenclaw (because I'm better than you)","0"
"2","Southeast","Sophomore","Blonde","West","Basketball","meh","Taylor swift","Instagram","it's complicated","0","2","2","Peanut butter","blue","11","17","0","Inside","Divinity Refectory","10","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Greek life","Time","7","1","0","10","Neither they're nasty","Joey","3",NA,"How I Met Your Mother","Burrito Bowl","Blastoise","5","Cheddar","Cat","Cookout","chocolate","Parker and Otis","No","Yes","Old Spice/Axe/Perfume","56","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Midwest","First-year","Brown","East","Basketball","yes","none of these","Instagram","it's complicated","2","2","2","Peanut butter","unsure","3","14","1","All of the Above","Other","4","Yes","Sriracha","yes","no, I was not eligible due to age or citizenship status","SLG","Time","13","0","7","1","Neither they're nasty","Rachel","2",NA,"House of Cards","Burrito Bowl","Jigglypuff","4","Brie","Dog","Cosmic","other","Chamas","Sometimes","Yes","Pine","52","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Pacific Northwest","Junior","Black","Central","Soccer","meh","none of these","Facebook","no","0","2","3","Some combination of two","none","11","14","2","What even is the Perimeter ","Other","20","Yes","Honey Mustard","no","yes","Greek life","Time","15","2","0","0","Coke","Chandler","4","House Tyrell","House of Cards","Burrito Bowl","Jigglypuff","5","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","No","No","Sharpie","47","powdered eggs","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","8"
"0","Southeast","Sophomore","Black","West","Other","hell yes","Kendrick Lamar","Facebook","yes","2","2","1","None","black","6","14","3","What even is the Perimeter ","Other","10","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","6","0","3","4","Coke","Monica","2",NA,"Breaking Bad","Burrito","Rayquaza","3","None of the above","Dog","Pitchforks","chocolate","Chipotle","No","Yes","Old Spice/Axe/Perfume","52","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Southeast","Junior","Brown","West","Soccer","meh","none of these","Snapchat","no","1","3","1","Some combination of two","none","4",NA,"10","What even is the Perimeter ","Blue Express","4","Yes","Maple Syrup","yes","no, I was eligible but chose not to vote","SLG","Time","9","2","0","3","Coke","Phoebe","2","House Targaryen","House of Cards","Burrito","Rayquaza","5","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","Shhhhh!","Yes","Bakery","47","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"3","Mid-Atlantic","First-year","Blonde","East","I don't watch sports","hell yes","Kendrick Lamar","Instagram","it's complicated","0","2","0","Some combination of two","none","5","15","2","What even is the Perimeter ","Edens Cafe (lol)","59999","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","SLG","Time","1","1","2","0","Coke","Monica","2","House Targaryen","Battlestar Galactica","Burrito Bowl","Rayquaza","5","Cheddar","Dog","Cookout","sweet-and-salty","Harris Teeter's","Sometimes","Yes","Pine","56","chocolate covered crickets","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","5"
"1","Mid-Atlantic","First-year","Brown","East","Football","hell yes","Beyonce","Instagram","no","1","1","1","Peanut butter","none","4","14","10","Outside","Divinity Refectory","3","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","Athletic Team","Time","1","0","4","2","Coke","Rachel","4",NA,"House of Cards","Burrito Bowl","Jigglypuff","6","Cheddar","Dog","Cosmic","vanilla","Chipotle","Yes","No","Bakery","41","chocolate covered crickets","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","5"
"1","Midwest","Junior","Brown","East","I don't watch sports","hell yes","none of these","Snapchat","no","2","2","0.5","Peanut butter","none","10","15","4","What even is the Perimeter ","Divinity Refectory","5","No","Honey Mustard","no","yes","Greek life","Time","14","1","0","3","Neither they're nasty","Joey","2","House Targaryen","House of Cards","Burrito Bowl","Jigglypuff","6","Goat","Cat","Cosmic","fruity","Parker and Otis","Shhhhh!","Yes","Bakery","52","chocolate covered crickets","Lord of the Rings/Hobbit","Lord of the Rings","Hufflepuff (because I'm good at something)","1"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","2","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","9","4","3","Pepsi","Rachel","1",NA,"Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry","51","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
"0","Mid-Atlantic","First-year","Blonde","East","Basketball","yes","none of these","Snapchat","no","2","2","3","Some combination of two","blue","14","16","3","What even is the Perimeter ","Divinity Refectory","3","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","2","1","5","Coke","Chandler","4",NA,"Friends","Quesadilla","Jigglypuff","5","None of the above","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Pizza","51","chocolate covered crickets","Hunger Games","Lord of the Rings","Hufflepuff (because I'm good at something)","1"
"3","Southwest","Junior","Blonde","West","Football","hell yes","none of these","Snapchat","no","2","2","3","Peanut butter","blue","12","13","2","What even is the Perimeter ","The Loop","10","Yes","Sriracha","no","yes","Greek life","Time","16","0","2","4","Neither they're nasty","Joey","4",NA,"Gilmore Girls","Burrito Bowl","Charizard","7","Brie","I'm not an animal person","Pizza","chocolate","Parker and Otis","No","No","Bakery","54","salad bar","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","4"
"13","California","First-year","Brown","East","Basketball","yes","Beyonce","Instagram","no","2","2","0","Peanut butter","black","5","14","2","Inside","The Loop","4","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","9","4","3","3","Coke","Joey","2","House Targaryen","How I Met Your Mother","Burrito","Rayquaza","5","Brie","Dog","Cosmic","chocolate","Chipotle","Sometimes","No","Old Spice/Axe/Perfume","45","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Gryffindor (because I'm a badass)","0"
"0","Southeast","Junior","Brown","West","Other","meh","Taylor swift","Snapchat","no","1","1","3","Some combination of two","white","7","16","6","What even is the Perimeter ","Edens Cafe (lol)","3","Yes","Honey Mustard","no","yes","Greek life","Time","5","1","1","6","Coke","Rachel","2","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Brie","Dog","Cookout","vanilla","Parker and Otis","Sometimes","No","Bakery","56","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","2"
"0","Mid-Atlantic","First-year","Brown","East","Basketball","hell yes","Taylor swift","Twitter","it's complicated","1","2","0","None","unsure","4","19","2","What even is the Perimeter ",NA,"10","No","Sriracha","no","no, I was not eligible due to age or citizenship status","Independent","Time","2","2","0","2","Neither they're nasty","Janice","2",NA,"Breaking Bad","Salad","Charizard",NA,"None of the above","Dog","Pizza","chocolate","Satisfactions","No","No","Pizza","54","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Mid-Atlantic","First-year","Blonde","East","Basketball","yes","none of these","Snapchat","no","2","2","3","Some combination of two","blue","14","18","3","What even is the Perimeter ","The Loop","3","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","3","1","5","Coke","Chandler","4",NA,"Friends","Quesadilla","Jigglypuff","5","None of the above","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Pizza","51","chocolate covered crickets","Hunger Games","Game of Thrones","Hufflepuff (because I'm good at something)","1"
"0","Not from the US","Senior","Brown","Off campus","Basketball","yes","Taylor swift","Instagram","no","0","3","2","Peanut butter","none","12","10","3","What even is the Perimeter ","None of the above","3","Yes","Soy Sauce","no","yes","Greek life","Time","11","4","2","0","Coke","Chandler","3","House Stark","Friends","Burrito Bowl",NA,"6","Goat","Dog","Pizza","chocolate","Chipotle","No","Yes","Clean Laundry","56","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","4"
"1","Southeast","Junior","Blonde","East","I don't watch sports","meh","Taylor swift","Instagram","yes","2","2","1","Some combination of two","none","13","13","3","Inside","Edens Cafe (lol)","3","No","Ketchup","no","yes","Greek life","Time","8","2","12","2","Coke","Rachel","2","House Targaryen","Gilmore Girls","Burrito Bowl","Jigglypuff","6","Brie","Cat","Cookout","sweet-and-salty","Cosmic","Sometimes","No","Bakery","51","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Ravenclaw (because I'm better than you)","1"
"0","Southeast","Junior","Blonde","West","Football","meh","Taylor swift","Snapchat","no","6","2","0","Some combination of two","unsure","1","18","8","What even is the Perimeter ","Divinity Refectory","3","Yes","Soy Sauce","no","yes","Independent","Time","3","2","1","4","Coke","Chandler","1",NA,"Friends","Burrito Bowl",NA,"6","Pepperjack","Dog","Pizza","chocolate","Satisfactions","Sometimes","Yes","Pine","51","the giant roasted hog","Hunger Games",NA,NA,"0"
"0","Mid-Atlantic","Sophomore","Black","West","Basketball","hell yes","none of these","Facebook","no","1","1","2","Some combination of two","unsure","4","14","0","Outside","Blue Express","20","Yes","Sriracha","no","yes","Greek life","Time","11","1","0","2","No preference","Chandler","2","House Stark","Friends","Burrito Bowl","Blastoise","6","Cheddar","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55.5","salad bar","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","1"
"1","Southeast","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Facebook","it's complicated","2","2","1","Some combination of two","blue","5","16","8","What even is the Perimeter ","Divinity Refectory","30","No","Maple Syrup","no","no, I was not eligible due to age or citizenship status","SLG","Outer space","4","1","0","2","Coke","Rachel","3",NA,"How I Met Your Mother","Burrito Bowl","Blastoise","6","Brie","Cat","Cookout","fruity","Parker and Otis","Sometimes","Yes","Clean Laundry","53","the giant roasted hog","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"7","Southwest","Sophomore","Brown","West","I don't watch sports","hell yes","none of these","Instagram","it's complicated","7","3","1","Some combination of two","white","2","16","0","Outside","Divinity Refectory","10","Yes","Honey Mustard","yes","yes","SLG","Time","3","0","0","1","Neither they're nasty","Rachel","2",NA,"Gilmore Girls","Burrito","Charizard","6","Goat","Cat","Cookout","sweet-and-salty","Cosmic","No","No","Bakery","52","the giant roasted hog","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"2","Southeast","Sophomore","Brown","East","Football","yes","Beyonce","Facebook","no","2","2","0","Some combination of two","white","6","16","0","Outside","The Loop","4","Yes","Honey Mustard","no","yes","SLG","Time","4","3","0","8","Coke","Rachel","1",NA,"How I Met Your Mother","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pizza","vanilla","Cosmic","No","No","Pine","50","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"2","Midwest","Sophomore","Black","West","I don't watch sports","hell yes","Beyonce","Facebook","no","2","1","1","Nutella","none","13","15","3","All of the Above","Divinity Refectory","12","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","3","2","3","2","Coke","Chandler","3","House Targaryen","Battlestar Galactica","Quesadilla","Rayquaza",NA,"Brie","Dog","Cookout","chocolate","Chamas","No","Yes","Clean Laundry","50","watery pasta","Lord of the Rings/Hobbit","Game of Thrones","Gryffindor (because I'm a badass)",".4"
"1","Southeast","Sophomore","Brown","Central","I don't watch sports","meh","none of these","Facebook","yes","3","2","0","Jelly","none","0","15","15","What even is the Perimeter ","Divinity Refectory","20","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","13","5","0","0","Neither they're nasty","Rachel","1","House Stark","Breaking Bad","Burrito Bowl","Charizard","3","None of the above","Dog","Pizza","chocolate","Cosmic","No","Yes","Clean Laundry","49","powdered eggs","Game of Thrones","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Not from the US","Junior","Black","Central","Basketball","hell yes","Beyonce","Facebook","no","2","3","1","Nutella","none","11","8","2","What even is the Perimeter ","The Loop","10","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","2","4","2","Coke","Chandler","7","House Tyrell","House of Cards","Burrito Bowl","Venusaur","4","None of the above","Cat","Cookout","vanilla","Parker and Otis","Sometimes","Yes","Pine","50","watery pasta","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","2"
"2","New England","Sophomore","Blonde","Central","Other","hell yes","Taylor swift","Facebook","no","3","2","2","Some combination of two","none","8","14","20","What even is the Perimeter ","Edens Cafe (lol)","30","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","10","6","2","1","Neither they're nasty","Rachel","3","House Lannister","Gilmore Girls","Burrito Bowl","Blastoise","10","Cheddar","Cat","Pizza","chocolate","Chipotle","Yes","No","Pizza","51","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","6"
"0","Southeast","First-year","Brown","East","Football","hell yes","Taylor swift","Instagram","no","2","2","3","Nutella","none","7","16","6","Inside","The Loop","4","No","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Greek life","Time","11","10","2","1","Coke","Chandler","2",NA,"Friends","Burrito Bowl","Charizard","5","Cheddar","Dog","Pizza","vanilla","Chipotle","No","Yes","Pizza","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"0","New England","Junior","Brown","Off campus","Basketball","hell yes","Taylor swift","Snapchat","no","1","1","5","Some combination of two","none","24","14","10","Outside","Divinity Refectory","5","Yes","Honey Mustard","no","yes","Greek life","Time","11","4","5","5","Neither they're nasty",NA,"5",NA,"Breaking Bad","Burrito","Jigglypuff","7","Brie","Dog","Cookout","chocolate","Parker and Otis","Sometimes","Yes","Pizza","56","chocolate covered crickets","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","8"
"1","Not from the US","Sophomore","Brown","West","I don't watch sports","no","none of these","Youtube","yes","1","2","2","Some combination of two","none","15","14","2","What even is the Perimeter ","The Loop","3","Yes","Maple Syrup","no","yes","SLG","Time","12","2","3","2","Coke","Joey","3","House Targaryen","Breaking Bad","Burrito","Charizard",NA,"Cheddar","Dog","Cosmic","chocolate","Cosmic","Sometimes","Yes","Pine","54","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"4","Southwest","Junior","Brown","West","Basketball","hell yes","Beyonce","Facebook","yes","2","3","1","Nutella","none","15","16","10",NA,"The Loop","10","Yes","Soy Sauce","no","yes","Independent","Time","2","2","2","3","Neither they're nasty","Rachel","4","House Stark","How I Met Your Mother","Hard tacos","Jigglypuff","4","None of the above","Dog","Pitchforks","chocolate","Chipotle","No","Yes","Clean Laundry","40","watery pasta","Harry Potter","Lord of the Rings","Gryffindor (because I'm a badass)","2"
"2","New England","Junior","Black","West","Basketball","I don't care. #teamnicki","Kendrick Lamar","Snapchat","yes","1","2","0","All three","unsure","9","14","0","All of the Above","Edens Cafe (lol)","10","Yes","Honey Mustard","yes","yes","Independent","Time","4","1","3","8","No preference","Phoebe","4","House Targaryen","How I Met Your Mother","Burrito","Rayquaza","7","Brie","Cat","Pizza","fruity","Parker and Otis","Shhhhh!","Yes","Clean Laundry","49","the giant roasted hog","Hunger Games","Legend of Zelda","Hufflepuff (because I'm good at something)","1"
"2","New England","Junior","Red","West","Football","no","none of these","Facebook","it's complicated","1","1","2","Some combination of two","none","28","17","20","What even is the Perimeter ","The Loop","10","No","Ketchup","yes","yes","Greek life","Outer space","11","20","0","0","Coke","Rachel","7","House Stark","Breaking Bad","Quesadilla","Blastoise","8","None of the above","Dog","Pizza","chocolate","Harris Teeter's","Sometimes","Yes","Bakery","67","the giant roasted hog","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southeast","Junior","Brown","West","Basketball","yes","Taylor swift","Facebook","no","2","1","0","Nutella","unsure","15","17","4","What even is the Perimeter ","None of the above","10","Yes","Soy Sauce","no","yes","Greek life","Time","11","0","4","5","Neither they're nasty","Phoebe","4",NA,"Gilmore Girls","Burrito","Charizard","5","Brie","Dog","Cosmic","other","Parker and Otis","No","No","Bakery","54","salad bar","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
NA,"Southeast","Sophomore","Brown","Central","Soccer","hell yes","Beyonce","Instagram","no","2","2","3","Some combination of two","none","8","14","4",NA,"Edens Cafe (lol)","45","Yes","Ketchup","no","no, I was eligible but chose not to vote","Greek life","Outer space","4","2","10","0","Pepsi","Phoebe","2","House Targaryen","Breaking Bad","Burrito Bowl","Charizard","5","Goat","Cat","Cosmic","chocolate","Parker and Otis","Sometimes","Yes","Pine","56","watery pasta","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","7"
"2","California","Sophomore","Brown","Central","Football","meh","none of these","Snapchat","no","1","2","3","Nutella","none","14","14","3","What even is the Perimeter ","Edens Cafe (lol)","6","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","Greek life","Time","5","4","0","1","Coke","Rachel","5","House Targaryen","House of Cards","Burrito Bowl","Charizard","7","Goat","Dog","Pizza","sweet-and-salty","Parker and Otis","No","No","Old Spice/Axe/Perfume","53","salad bar","Game of Thrones","Harry Potter","Ravenclaw (because I'm better than you)","8"
"1","Southeast","First-year","Blonde","East","Basketball","yes","none of these","Instagram","it's complicated","2","1","1","Peanut butter","black","6","16","2","Inside","None of the above","2","No","Soy Sauce","yes","no, I was not eligible due to age or citizenship status","Athletic Team","Time","10","7","0","1","Pepsi","Chandler","3",NA,"Friends","Burrito Bowl","Jigglypuff","5","Blue","Cat","Pizza","chocolate","Chipotle","No","No","Clean Laundry","50","salad bar","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","2"
"1","New England","Sophomore","Brown","West","Basketball","meh","none of these","Snapchat","no","3","3","2","Nutella","blue","11","15","3","What even is the Perimeter ","Other","10","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Athletic Team","Outer space","1","2","3","1","Coke","Chandler","3",NA,"Gilmore Girls","Burrito Bowl","Charizard","3","Goat","Dog","Cookout","chocolate","Chipotle","No","Yes","Clean Laundry","53","chocolate covered crickets","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","4"
"1","Mid-Atlantic","Junior","Brown","Central","Basketball","hell yes","Taylor swift","Instagram","no","2","2","1","Some combination of two","blue","17","13","1","All of the Above","Edens Cafe (lol)","5","No","Honey Mustard","no","yes","Greek life","Time","10","2","0","5","Coke","Phoebe","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","6","Brie","Dog","Pizza","chocolate","Chamas","No","No","Pizza","57","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","New England","Sophomore","Blonde","West","Basketball","meh","Taylor swift","Facebook","no","2","1","1","Nutella","none","7","16","5","What even is the Perimeter ","Edens Cafe (lol)","10","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","5","5","9","Coke","Chandler","3","House Stark","House of Cards","Burrito","Charizard","3","Cheddar","Dog","Pizza","chocolate","Chipotle","Yes","No","Pizza","53","powdered eggs","Game of Thrones","Harry Potter","Gryffindor (because I'm a badass)","2"
NA,"Southwest","Sophomore","Black","West","Basketball","hell yes","Kanye West","Facebook","yes","1","3","0","All three","none","8","17","5","What even is the Perimeter ","The Loop","4","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","12","1","0","2","Coke","Joey","4","House Stark","House of Cards","Burrito","Jigglypuff","5","Pepperjack","Dog","Pitchforks","vanilla","Chamas","Shhhhh!","No","Clean Laundry","45","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
